year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,CIVI US Equity 2021,1278.4,51.5,,,,,,,,,,,,,,,,,,4419.0593,930.614,4141.5323,CIVITAS RESOURCES INC,37.155,48.97,531.981,254.454,6741.033

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1152849.6111983466,46442.23637102224,0.0,1199291.8475693688
BMO,1027908.9269447445,41409.03452569958,0.0,1069317.9614704442
TD,381681.60938887286,15375.940928916576,0.0,397057.5503177894
Scotiabank,100282.69855579782,4039.861526614195,0.0,104322.56008241202
CIBC,255342.16425162257,10286.390377783604,0.0,265628.5546294062
National Bank of Canada,91768.43266440298,3696.8666162521536,0.0,95465.29928065513
Sun Life Financial,596.0572612218913,24.01200637744634,0.0,620.0692675993376
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,919.5518286794479,37.043897979499036,0.0,956.5957266589469
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,3935.027429340585,158.52152112878608,0.0,4093.548950469371
OMERS,0.0,0.0,0.0,0.0
CPPIB,431268.881616594,17373.550847351835,0.0,448642.4324639458
Healthcare of Ontario Pension Plan Trust Fund,54789.73161696698,2207.189595020181,0.0,56996.92121198716
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,4641.59142257565,186.98526146952904,0.0,4828.576684045179
