year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,COAL IN Equity 2021,1162.73,3845.53,,,,,,,,,,,,,,,,,,664649.5374,900260.1,803311.6374,COAL INDIA LTD,6162.7283,130.35,58842.3,201915.2,1617815.7

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1533.5771115022064,5072.043199706794,0.0,6605.620311209001
BMO,1842.151311637403,6092.59942844941,0.0,7934.750740086813
TD,359.8736893264382,1190.2204884328244,0.0,1550.0941777592625
Scotiabank,160.38580775077915,530.4485437546582,0.0,690.8343515054373
CIBC,774.5756798369023,2561.7761768279847,0.0,3336.3518566648872
National Bank of Canada,294.61816845577795,974.3990482242205,0.0,1269.0172166799985
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,22.391600298755982,74.0563765421681,0.0,96.44797684092407
OMERS,0.0,0.0,0.0,0.0
CPPIB,694.434883111529,2296.7242404099648,0.0,2991.1591235214937
Healthcare of Ontario Pension Plan Trust Fund,233.74978013233996,773.0872962702582,0.0,1006.8370764025982
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,21.764867077724226,71.9835639343621,0.0,93.74843101208631
