year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,EOG US Equity 2021,5000.0,400.0,,,,,,,,,,,,,,,,,,52687.0228,18642.0,51989.0228,EOG RESOURCES INC,581.0,88.83,5907.0,5209.0,38236.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,41980.88139483168,3358.4705115865345,0.0,45339.35190641822
BMO,22766.92148174018,1821.3537185392142,0.0,24588.275200279393
TD,5947.890215009004,475.83121720072035,0.0,6423.721432209724
Scotiabank,5187.345048539747,414.98760388317976,0.0,5602.332652422927
CIBC,5574.638344616087,445.97106756928696,0.0,6020.609412185374
National Bank of Canada,1517.1471928493334,121.37177542794667,0.0,1638.51896827728
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,34.141822723392295,2.7313458178713836,0.0,36.87316854126368
Intact Financial,1046.470910009103,83.71767280072822,0.0,1130.1885828098311
OMERS,0.0,0.0,0.0,0.0
CPPIB,15076.740392204487,1206.1392313763588,0.0,16282.879623580846
Healthcare of Ontario Pension Plan Trust Fund,7489.27329328452,599.1418634627616,0.0,8088.415156747282
OTPP,0.0,0.0,0.0,0.0
OPSEU,128.68101071520812,10.29448085721665,0.0,138.97549157242477
Investment Management of Ontario,0.0,0.0,0.0,0.0
