year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,FTS CN Equity 2021,9742.0,158.0,98086.0,,,80268.0,,,,,,,,17818.0,,,,,,58052.044,9400.0,28977.044,FORTIS INC,470.9,61.03,25955.0,131.0,57659.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2216072.8524966175,35941.23493065752,22312227.65448401,24564241.741911285
BMO,1212037.84209321,19657.35773462607,12203237.916193245,13434933.116021082
TD,581699.0906318808,9434.249262968298,5856758.058275371,6447891.39817022
Scotiabank,439922.0571981048,7134.847571063495,4429295.309210975,4876352.213980143
CIBC,341943.1092419227,5545.782309610325,3442807.6178508755,3790296.5094024083
National Bank of Canada,216100.47657034997,3504.8116709212986,2175778.2123670033,2395383.5006082747
Sun Life Financial,40.679856785944075,0.6597636391068737,409.5795968698532,450.9192172949042
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,97.1609802573375,1.5757991049742686,978.2520950032032,1076.988874365515
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,62517.207345235074,1013.931303689914,629445.9864160056,692977.1250649306
OMERS,23121.287526774646,374.9911136553473,232793.5340126481,256289.8126530781
CPPIB,249636.1436314898,4048.707728780065,2513427.50813368,2767112.35949395
Healthcare of Ontario Pension Plan Trust Fund,85975.02823269344,1394.3804619960545,865627.8607300316,952997.2694247211
OTPP,555.7339112988889,9.013134673088118,5595.331186990639,6160.078232962616
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,5055.396747853232,81.99062678719058,50899.573538280856,56036.96091292128
