year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,JPVL IN Equity 2021,6146.61,,,,,,,,,,,,,,,,,,,71382.2412,33017.1,22273.7412,JAIPRAKASH POWER VENTURES LT,10649.3667,3.25,52167.7,3059.2,169936.9

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,796342.1224181234,0.0,0.0,796342.1224181234
BMO,584566.4018306003,0.0,0.0,584566.4018306003
TD,315569.20005068573,0.0,0.0,315569.20005068573
Scotiabank,73819.23195821274,0.0,0.0,73819.23195821274
CIBC,219986.28951206454,0.0,0.0,219986.28951206454
National Bank of Canada,30392.599351473113,0.0,0.0,30392.599351473113
Sun Life Financial,532.874284720521,0.0,0.0,532.874284720521
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,422.7671694416562,0.0,0.0,422.7671694416562
Intact Financial,532.0464116733116,0.0,0.0,532.0464116733116
OMERS,0.0,0.0,0.0,0.0
CPPIB,1009.4532022307953,0.0,0.0,1009.4532022307953
Healthcare of Ontario Pension Plan Trust Fund,5640.575028320792,0.0,0.0,5640.575028320792
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
