year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,PETR3 BS Equity 2021,61300.0,400.0,435000.0,,,,,,,,,,15000.0,420000.0,,,,,,638890.5259,452668.0,371107.5259,PETROBRAS - PETROLEO BRAS,13044.2013,30.7,327818.0,62287.0,972951.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,683793.9922791525,4461.951009978157,4852371.723351245,5540627.666640376
BMO,230820.29552556697,1506.168323168463,1637958.0514457037,1870284.5152944392
TD,191607.42625079703,1250.2931566120524,1359693.807815607,1552551.527223016
Scotiabank,120232.11841848557,784.5488966948487,853196.925155648,974213.5924708284
CIBC,105607.6324643461,689.119950827707,749417.9465251314,855714.6989403052
National Bank of Canada,43492.88029353867,283.80346031672866,308636.26309444243,352412.94684829784
Sun Life Financial,19.98692961564647,0.1304204216355398,141.83220852864952,161.94955856593154
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,45207.131165862455,294.98943664510574,320801.0123515525,366303.13295406004
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,23469.280443390762,153.143754932403,166543.83348898828,190166.25768731144
OMERS,0.0,0.0,0.0,0.0
CPPIB,77527.15262301826,505.88680341284345,550151.8987114673,628184.9381378983
Healthcare of Ontario Pension Plan Trust Fund,12865.305785489596,83.9497930537657,91295.39994597022,104244.65552451358
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
