year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,EL RO Equity 2022,28.041,491.588,9447.85,,,,,,,,,,,,,,,,,5797.0038,10009.896,2746.9838,SOCIETATEA ENERGETICA ELECTR,339.553,8.09,3385.423,334.887,11623.312

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,13536.308593811145,237305.61923663327,0.0,250841.92783044442
BMO,1326.274645667732,23250.9789420673,0.0,24577.25358773503
TD,2177.7787775814336,38178.73519894802,0.0,40356.51397652946
Scotiabank,624.0001448133768,10939.37388782562,0.0,11563.374032638998
CIBC,366.1786254436593,6419.493531778382,0.0,6785.672157222041
National Bank of Canada,244.64309035968833,4288.848739479279,0.0,4533.4918298389675
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,67.22938300546221,1178.6012600438341,0.0,1245.8306430492964
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,1661.268065359541,29123.7632650036,0.0,30785.03133036314
Healthcare of Ontario Pension Plan Trust Fund,495.982578419283,8695.092320529886,0.0,9191.07489894917
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
