year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,GLEN LN Equity 2022,17378.0,11746.0,363349.0,10700.0,1560.0,4734.0,5199.0,,,,,2562.0,13902.0,293317.0,,,,31374.0,1.0,107969.7096,255984.0,85306.7096,GLENCORE PLC,13042.304,552.4,28777.0,1923.0,132583.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,32710.035038088023,22109.107581849574,683919.8136180369,738738.9562379745
BMO,9802.01006369609,6625.296939128455,204945.9405359599,221373.24753878446
TD,6440.965858094708,4353.526583564301,134671.3375286485,145465.8299703075
Scotiabank,2181.959178507572,1474.8125509696133,45621.62996613809,49278.40169561528
CIBC,9398.45660158952,6352.530282096357,196508.2177310939,212259.20461477977
National Bank of Canada,1192.3263067691923,805.9077453855986,24929.82916551267,26928.063217667463
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,3748.7081320975017,2533.797083646982,78380.09846297014,84662.60367871463
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,1449.2071324715587,979.5365967321286,30300.83797769642,32729.58170690011
Healthcare of Ontario Pension Plan Trust Fund,1361.8146866140526,920.4669875111441,28473.58755705659,30755.869231181787
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,196.5820751806374,132.87219789801858,4110.248615192163,4439.702888270819
