year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,MYTIL GA Equity 2022,2640.85,,8724.44,1688.76,1281.63,1106.9301,12.4712,59.5451,0.719,2.127,2.127,15.913,1071.65,3331.6001,150.97,0.0,0.0,0.0,,3564.3104,6306.0,2757.4204,METLEN ENERGY & METALS SA,136.631,20.3,1775.926,1060.085,6902.327

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,3700388.2646258804,0.0,12224785.444990544,15925173.709616425
BMO,1381924.1510652492,0.0,4565392.883098276,5947317.034163525
TD,1044781.065719975,0.0,3451590.3337798985,4496371.399499874
Scotiabank,494663.91999928624,0.0,1634196.1591375405,2128860.0791368266
CIBC,463453.5830481271,0.0,1531088.148407657,1994541.731455784
National Bank of Canada,411391.66097052157,0.0,1359093.8111277847,1770485.4720983063
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,6625.540414512056,0.0,21888.462569944,28514.002984456056
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,48058.632263691085,0.0,158768.8713153787,206827.50357906977
OMERS,0.0,0.0,0.0,0.0
CPPIB,122390.52994965874,0.0,404335.40000012337,526725.9299497821
Healthcare of Ontario Pension Plan Trust Fund,26652.52445727898,0.0,88050.59625021271,114703.12070749169
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
