year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,NTPC IN Equity 2022,304140.0,0.0,1113.88,,,,1099.74,,2.104,12.03,,,,,,,,,,3409138.828,1326692.8,1309049.928,NTPC LTD,9696.6661,135.0,2107065.6,44580.8,4165964.1

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,990338.489717254,0.0,3626.9885411169744,993965.4782583709
BMO,436447.7198458698,0.0,1598.4341668165923,438046.1540126864
TD,218782.86139747605,0.0,801.2643550873026,219584.12575256336
Scotiabank,148093.57019421496,0.0,542.3738324669921,148635.94402668194
CIBC,116748.13173359724,0.0,427.57515777809203,117175.70689137533
National Bank of Canada,153886.4146517107,0.0,563.5893872353507,154450.00403894603
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,1607.3034916358058,0.0,5.886544254101208,1613.190035889907
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,11991.580675599716,0.0,43.91763639591293,12035.498311995629
OMERS,0.0,0.0,0.0,0.0
CPPIB,20242.544667860828,0.0,74.1357407751983,20316.680408636024
Healthcare of Ontario Pension Plan Trust Fund,47972.82812271771,0.0,175.6943708567241,48148.52249357443
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,3601.2148193632534,0.0,13.188990450790508,3614.403809814044
