year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,OXY US Equity 2022,17600.0,4900.0,217000.0,,,,,,,,,1600.0,20200.0,195200.0,,,,,,86606.1149,36634.0,56682.1149,OCCIDENTAL PETROLEUM CORP,926.2,62.99,20908.0,984.0,72609.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,50258.731612711934,13992.487778539118,619667.3159067323,683918.5352979834
BMO,47279.760198220836,13163.115055186483,582937.9524439728,643380.8276973801
TD,23594.85707898313,6569.022709489621,290913.86284882604,321077.74263729877
Scotiabank,6436.118353092715,1791.8738596678581,79354.41378529086,87582.40599805143
CIBC,9226.924593810456,2568.8596880495015,113763.78618504936,125559.57046690932
National Bank of Canada,4252.346625125661,1183.8919581315763,52429.50100296981,57865.73958622705
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,608.2765270990268,169.34971493097902,7499.7730898005,8277.399331830506
Fairfax,18020.3861800506,5017.039334218632,222183.17051539654,245220.5960296658
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,26449.627058640323,7363.816624280545,326111.87907528126,359925.32275820215
Healthcare of Ontario Pension Plan Trust Fund,2878.989259449809,801.5367824604582,35496.62893753458,39177.15497944485
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
