year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,RATCH TB Equity 2022,8515.79,31.367,3113.0,,,,,,,,,,,,,,,,,163831.4998,74725.2201,92981.25,RATCH GROUP PCL,1833.356,42.75,98975.1372,37499.5476,229578.2812

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,402372.44556735904,1482.0957891295288,0.0,403854.5413564886
BMO,175989.1925102104,648.2373334086174,0.0,176637.42984361903
TD,102019.7709579082,375.7788949277408,0.0,102395.54985283595
Scotiabank,74813.84538829066,275.56878320091414,0.0,75089.41417149157
CIBC,46203.99650176783,170.1874703663373,0.0,46374.18397213417
National Bank of Canada,62475.27449803052,230.1209794017611,0.0,62705.395477432285
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,782.3284606305035,2.881623058412315,0.0,785.2100836889158
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,4727.033345647645,17.41152082812395,0.0,4744.444866475768
OMERS,0.0,0.0,0.0,0.0
CPPIB,13348.582393869734,49.16807295019157,0.0,13397.750466819925
Healthcare of Ontario Pension Plan Trust Fund,18979.02102348592,69.90719034213886,0.0,19048.928213828058
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1419.5845398937959,5.228887544531828,0.0,1424.8134274383276
