year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,1605 JT Equity 2023,6621.66,0.664,88172.0,1973.0,,,,,,,,,,86199.0,,,,,,3558936.576,2164516.0,2396326.576,INPEX CORP,1294.3251,1904.5,1145446.0,272768.0,6739476.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,10043.95729580224,1.0071776026574437,133742.26442998814,143787.22890339303
BMO,4875.328591014216,0.4888831779996919,64918.3848954651,69794.20236965732
TD,2386.885350680182,0.23934963028177844,31783.035543983384,34170.160244293846
Scotiabank,1383.14423607177,0.1386975128218083,18417.52575380193,19800.80868738652
CIBC,1348.4322340629085,0.1352166984438602,17955.31134818078,19303.878798942133
National Bank of Canada,1158.3203300500388,0.11615285278211596,15423.83936069989,16582.27584360271
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,12.733076361792182,0.0012768343140889158,169.54975171965043,182.2841049157567
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,3.943164055615765,0.0003954085430132124,52.505966949640005,56.449526413798786
Intact Financial,177.262770965488,0.01777537353489669,2360.376860420047,2537.6574067590695
OMERS,0.0,0.0,0.0,0.0
CPPIB,273.37152290548227,0.02741286795293631,3640.131616184187,3913.5305519576223
Healthcare of Ontario Pension Plan Trust Fund,27.298190403243265,0.0027373798152960935,363.49435703958903,390.7952848226476
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,21.82694665403569,0.0021887400709610125,290.6409480975518,312.47008349165844
