year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,CHRD US Equity 2023,1500.21,282.658,,,,,,,,,,,,,,,,,,6967.6756,3896.641,6856.9306,CHORD ENERGY CORP,41.49,166.23,428.743,317.998,6926.15

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,284101.78033448383,53528.26672651464,0.0,337630.04706099845
BMO,224611.7366872577,42319.61143343058,0.0,266931.3481206883
TD,44615.12607404835,8406.038025235373,0.0,53021.16409928372
Scotiabank,94762.72906568428,17854.462690055516,0.0,112617.1917557398
CIBC,13873.527655362299,2613.943101305415,0.0,16487.470756667713
National Bank of Canada,25244.783846871658,4756.427508541505,0.0,30001.211355413165
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,192063.6107283921,36187.144520611015,0.0,228250.7552490031
Healthcare of Ontario Pension Plan Trust Fund,36102.76480412387,6802.2045540317995,0.0,42904.96935815567
OTPP,1350.574604036389,254.464852539123,0.0,1605.039456575512
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,6275.916493890138,1182.4597918491402,0.0,7458.376285739278
