year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,EPM US Equity 2023,111.194,0.006,,,,,,,,,,,,,,,,,,257.4575,128.514,268.3075,EVOLUTION PETROLEUM CORP,32.985,8.07,0.184,11.034,128.317

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,290468.0736095711,15.673583481639538,0.0,290483.7471930527
BMO,117665.07782302024,6.3491777158670555,0.0,117671.4270007361
TD,71305.14822731381,3.8476076889389974,0.0,71308.99583500274
Scotiabank,55871.45459593936,3.0148095002935067,0.0,55874.46940543965
CIBC,11651.214058496316,0.6286965515313586,0.0,11651.842755047848
National Bank of Canada,79042.09477558399,4.265091359727179,0.0,79046.35986694372
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,5973.143210681774,0.3223092906459939,0.0,5973.46551997242
OMERS,0.0,0.0,0.0,0.0
CPPIB,127152.15160217287,6.8610978075529,0.0,127159.01269998043
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1510.5881497908183,0.08151095291782749,0.0,1510.6696607437361
