year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,INA CZ Equity 2023,1190.0,60.0,13110.8,171.163,,,,658.053,0.093,,,,,12281.5,,,,,,5267.832,,5000.0,INA INDUSTRIJA NAFTE DD,10.0,500.0,415.494,150.86,3141.889

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,245025.522,12354.228,2699565.3941742,2956945.1441742
BMO,247345.308,12471.192,2725123.6052388,2984940.1052388
TD,65289.58800000001,3291.912,719327.1579468,787908.6579468
Scotiabank,48235.698,2432.052,531436.1541678,582103.9041678
CIBC,15326.01,772.74,168854.109111,184952.859111
National Bank of Canada,24471.636,1233.864,269615.92059959995,295321.42059959995
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,59.50000000000001,3.0,655.54045,718.04045
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,27085.113999999998,1365.6359999999997,298409.8793254,326860.6293254
Healthcare of Ontario Pension Plan Trust Fund,39993.044,2016.4560000000004,440622.8245484,482632.3245484
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,6825.126,344.12399999999997,75195.7339386,82364.9839386
