year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,MRO US Equity 2023,33000.0,6800.0,400000.0,,,,,,,,,,,400000.0,,,,,,19018.32,6697.0,13940.32,MARATHON OIL CORP,607.0,24.16,5233.0,155.0,19575.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,430083.81443180644,88623.33145867527,5213137.144627958,5731844.290518439
BMO,272402.3551826644,56131.394401276295,3301846.7294868412,3630380.4790707817
TD,145123.28267930722,29904.191582402695,1759070.0930825116,1934097.5673442215
Scotiabank,95016.03980396433,19579.062747483556,1151709.5733813858,1266304.6759328337
CIBC,50272.94925797973,10359.2743925534,609369.0819149058,670001.3055654389
National Bank of Canada,129269.9163290369,26637.43730416518,1566908.076715599,1722815.4303488012
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,54943.50201430096,11321.691324158985,665981.8425975874,732247.0359360473
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,3025.325100141173,623.4003236654538,36670.607274438466,40319.33269824509
CPPIB,291494.0976964661,60065.450434423314,3533261.790260195,3884821.338391084
Healthcare of Ontario Pension Plan Trust Fund,70600.38793944473,14547.958726915882,855762.2780538754,940910.624720236
OTPP,4291.795310294167,884.369942727283,52021.761336899006,57197.926589920455
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,7729.019132989773,1592.6463667978928,93685.08039987604,103006.7458996637
