year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,SNG RO Equity 2023,908.008,12.762,9770.25,,,,,,,,,,,,,,,,,17415.6412,9001.9,19309.6622,SOCIETATEA NATIONALA DE GAZE,3854.224,5.01,1144.751,3038.772,16465.63

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,6787.372734050211,95.39613178732874,0.0,6882.76886583754
BMO,2693.1301872282365,37.85178924569691,0.0,2730.9819764739336
TD,996.8042622723873,14.010026338006059,0.0,1010.8142886103933
Scotiabank,377.9279109294827,5.311754961720667,0.0,383.2396658912034
CIBC,899.1364420657758,12.637310765591748,0.0,911.7737528313676
National Bank of Canada,625.4126185594278,8.790138234525926,0.0,634.2027567939537
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,1091.4155546439338,15.339782588221558,0.0,1106.7553372321554
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,5227.179856517635,73.467710999108,0.0,5300.647567516743
Healthcare of Ontario Pension Plan Trust Fund,1220.6831703146004,17.156631460906656,0.0,1237.839801775507
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,48.340163299179835,0.6794182033904249,0.0,49.01958150257026
