year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,VEDL IN Equity 2023,57175.398,8182.54,38190.0,5441.92,28.93,2543.74,510.13,39.61,2.984,10.6,0.07,580.43,4083.31,21898.4,3047.48,0.0,0.0,0.0,,1568374.0,1473080.0,1020954.0,VEDANTA LTD,3709.7,274.45,666280.0,218900.0,1953770.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,303979.2789876645,43503.37201828877,203028.5881033386,550511.2391092919
BMO,87677.24308654258,12547.749097354043,58559.869382992765,158784.8615668894
TD,84074.58270347146,12032.16173422113,56153.64270390243,152260.387141595
Scotiabank,19770.474582337698,2829.4109835310896,13204.753804116543,35804.63936998533
CIBC,53956.07085163876,7721.812587756158,36037.40663210292,97715.29007149783
National Bank of Canada,9467.742877032657,1354.956633638734,6323.53124611295,17146.23075678434
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,754.8500614542869,108.0288207500044,504.16641133292984,1367.0452935372211
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,69.94641492368902,10.01023793432417,46.717400975949936,126.67405383396313
OMERS,0.0,0.0,0.0,0.0
CPPIB,37041.75087900728,5301.154322310311,24740.286268478307,67083.1914697959
Healthcare of Ontario Pension Plan Trust Fund,553.6911163735094,79.2403702615397,369.81180420273586,1002.743290837785
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,2455.180765948319,351.3681675570104,1639.8219184840846,4446.3708519894135
