year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,XOM US Equity 2023,94000.0,8000.0,730000.0,,,,,,,,,,,730000.0,,,,,,420805.58,344582.0,397020.58,EXXON MOBIL CORP,4052.0,99.98,47588.0,31539.0,376317.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,487336.5607394962,41475.451977829456,3784634.992976938,4313447.005694264
BMO,170018.00763073793,14469.617670701102,1320352.6124514756,1504840.2377529147
TD,68013.1694936318,5788.354850521854,528187.3801101192,601988.9044542729
Scotiabank,46299.34800860954,3940.3700432859177,359558.76644984,409798.4845017354
CIBC,23522.694969615935,2001.9314867758244,182676.24816829397,208200.87462468573
National Bank of Canada,24355.865884836498,2072.839649773319,189146.61804181535,215575.32357642517
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,5495.281881861138,467.6835644137138,42676.125252751386,48639.09069902624
Fairfax,205.98428424037868,17.53057738215989,1599.6651861220898,1823.1800477446284
Intact Financial,1618.9891214203556,137.7863082059877,12573.000623796379,14329.776053422722
OMERS,0.0,0.0,0.0,0.0
CPPIB,31593.490695117114,2688.8077187333715,245353.70433442015,279636.00274827064
Healthcare of Ontario Pension Plan Trust Fund,22583.927513279035,1922.0363841088542,175385.82004993293,199891.7839473208
OTPP,300.926465827036,25.610763049109444,2336.982128231237,2663.5193571073823
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,3351.861508035679,285.26480919452587,26030.413839000485,29667.54015623069
