year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,1088 HK Equity 2024,196560.0,2810.0,,,,,,,,,,,,,,,,,,599566.007,338375.0,627335.007,CHINA SHENHUA ENERGY CO-H,19868.52,33.6,56292.0,161147.0,668022.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,100438.34100908066,1435.855404128595,0.0,101874.19641320925
BMO,67458.64803938798,964.3813644214501,0.0,68423.02940380943
TD,15475.142135659584,221.23091880954127,0.0,15696.373054469124
Scotiabank,114958.15396126937,1643.4290426901046,0.0,116601.58300395947
CIBC,25416.330831351162,363.34905187269425,0.0,25779.679883223856
National Bank of Canada,38462.57436738262,549.8567051910113,0.0,39012.431072573636
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,4393.448937562638,62.80825963853792,0.0,4456.257197201176
OMERS,0.0,0.0,0.0,0.0
CPPIB,34226.7281124326,489.30151605583836,0.0,34716.02962848843
Healthcare of Ontario Pension Plan Trust Fund,4227.073143393064,60.429769703574024,0.0,4287.502913096638
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
