year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,6 HK Equity 2024,6256.1,813.447,,,,,,,,,,,,,,,,,,115281.8993,919.0,115505.8993,POWER ASSETS HOLDINGS LTD,2131.1052,54.2,2509.0,2733.0,94077.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,17362.146901184293,2257.5064833247006,0.0,19619.653384508994
BMO,11661.153950255422,1516.2370642050832,0.0,13177.391014460505
TD,2675.090890357667,347.8276657164644,0.0,3022.918556074131
Scotiabank,19872.096019428158,2583.861653540669,0.0,22455.957672968827
CIBC,4393.561912209621,571.2712003966018,0.0,4964.833112606223
National Bank of Canada,6648.7843153825825,864.5056273069509,0.0,7513.289942689534
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,759.4679988782184,98.74953489929669,0.0,858.2175337775151
OMERS,0.0,0.0,0.0,0.0
CPPIB,5916.56010508201,769.2984555551614,0.0,6685.858560637171
Healthcare of Ontario Pension Plan Trust Fund,730.7076574572847,95.0099825507354,0.0,825.71764000802
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
