year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,BYAN IJ Equity 2024,1170.02,32.536,,,,,,,,,,,,,,,,,,41227.5089,,41692.4021,BAYAN RESOURCES TBK PT,33333.335,20250.0,337.5418,912.152,3521.4559

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,7265.969650139204,202.05260468789348,0.0,7468.022254827097
BMO,3408.044672005118,94.77115044901672,0.0,3502.815822454135
TD,5494.623824996642,152.79489305318774,0.0,5647.418718049829
Scotiabank,999.0760887341629,27.782379466209743,0.0,1026.8584682003727
CIBC,265.5334948906674,7.383974453225377,0.0,272.9174693438928
National Bank of Canada,1500.2558271882347,41.719221546124345,0.0,1541.975048734359
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,27.72638902472832,0.7710174127865854,0.0,28.497406437514904
OMERS,0.0,0.0,0.0,0.0
CPPIB,418.39345543489327,11.634715189509315,0.0,430.0281706244026
Healthcare of Ontario Pension Plan Trust Fund,32.7216291526652,0.9099254082076504,0.0,33.63155456087285
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,109.61465134674982,3.048172079295954,0.0,112.66282342604578
