year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,DBI AU Equity 2024,0.057,0.021,80.951,0.64,3.811,0.018,,0.0004,0.032,0.017,,,,,,76.433,,,,3624.3202,767.1,1784.7432,DALRYMPLE BAY INFRASTRUCTURE,495.7617,3.6,1929.467,89.89,3418.259

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,13.008441214399921,4.792583605305233,18474.588212690767,18492.389237510473
BMO,4.1081355569809705,1.5135236262561471,5834.374118024375,5839.995777207612
TD,6.4562985868219025,2.378636321460701,9169.235253004466,9178.070187912748
Scotiabank,0.8170856176955879,0.30103154336153237,1160.4249942512738,1161.543111412331
CIBC,1.2711391756528336,0.46831443313525445,1805.2718572621543,1807.0113108709425
National Bank of Canada,3.07116116200919,1.131480428108649,4361.663082285452,4365.86572387557
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,19.79439731161324,7.292672693752245,28112.003061953117,28139.09013195848
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.3007541925359346,0.11080417619744957,427.1311042395343,427.5426626082677
