year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,SLB US Equity 2024,990.0,373.0,34855.0,9864.0,60.0,90.0,807.0,197.0,210.0,70.0,1220.0,1.0,,16685.0,406.0,2586.0,,2659.0,,63075.6051,36289.0,53708.6051,SCHLUMBERGER LTD,1421.0,38.34,12816.0,4669.0,48935.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,6972.446394814301,2626.9924295613478,245479.41322348735,255078.852047863
BMO,1688.7578783907013,636.2693824643753,59456.21803162414,61781.245292479216
TD,993.4726455965994,374.30838061366825,34977.26167906007,36345.04270527034
Scotiabank,1281.1902277462052,482.7110656053884,45106.95493746867,46870.85623082026
CIBC,421.060460570405,158.64197150783946,14824.305407254005,15404.00783933225
National Bank of Canada,2318.053685590877,873.3677017428255,81611.88001138388,84803.30139871758
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,111.68433789765284,42.079048521034856,3932.07838123504,4085.841767653728
OMERS,42.28484422135923,15.931562519764642,1488.7255003388645,1546.9419070799884
CPPIB,1160.5659816326154,437.26374863531873,40860.12857556042,42457.95830582835
Healthcare of Ontario Pension Plan Trust Fund,924.4418079292103,348.2997922803994,32546.888096335984,33819.62969654559
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
