"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"CQP","CHENIERE ENERGY PARTNERS LP","PARTNERSHIP SHARES","16411Q101","5,398,074","33%","101,620,376","",""
"BN.TO","BROOKFIELD CORP","COMMON STOCK","11271J107","1,778,982","11%","30,965,748","",""
"BEP","BROOKFIELD RENEWABLE PARTNERS","PARTNERSHIP SHARES","G16258108","1,694,186","10%","74,339,049","",""
"BBUC","BROOKFIELD BUSINESS CORP","COMMON STOCK","11259V106","1,146,160","6.9%","47,244,876","",""
"BBU","BROOKFIELD BUSINESS PARTNERS L","PARTNERSHIP SHARES","G16234109","599,610","3.6%","25,602,504","",""
"TA.TO","TRANSALTA CORP","COMMON STOCK","89346D107","502,655","3.0%","35,523,345","",""
"LNG","Cheniere Energy Inc","COMMON","16411R208","417,635","2.5%","1,943,667","",""
"PCG","PG&E Corp","COM","69331C108","296,493","1.8%","14,692,444","",""
"BEPC","BROOKFIELD RENEWABLE CORP","COMMON STOCK","11285B108","279,204","1.7%","10,094,152","",""
"ET","Energy Transfer LP","COM UT","29273V100","269,370","1.6%","13,750,386","",""
"WMB","Williams Cos Inc/The","COM","969457100","244,401","1.5%","4,515,914","",""
"TRGP","Targa Resources Corp","COM","87612G101","219,909","1.3%","1,231,988","",""
"ETR","Entergy Corp","COM","29364G103","215,803","1.3%","2,846,262","",""
"MPLX","MPLX LP","COM UNIT REP LTD","55336V100","202,046","1.2%","4,221,615","",""
"SBAC","SBA Communications Corp","CL A","78410G104","202,015","1.2%","991,245","",""
"XEL","Xcel Energy Inc","COM","98389B100","189,222","1.1%","2,802,467","",""
"BIP","BROOKFIELD INFRASTRUCTURE PART","PARTNERSHIP SHARES","G16252101","175,747","1.1%","4,527,616","",""
"CNP","CenterPoint Energy Inc","COM","15189T107","164,349","1.0%","5,179,639","",""
"UNP","Union Pacific Corp","COM","907818108","146,201","0.9%","641,124","",""
"EPD","Enterprise Products Partners LP","COM","293792107","143,322","0.9%","4,570,224","",""
"SRE","Sempra","COM","816851109","138,484","0.8%","1,578,711","",""
"BABA","ALIBABA GROUP HOLDING LTD","DEPOSITARY RECEIPT","01609W102","115,912","0.7%","1,367,057","",""
"DTM","DT Midstream Inc","COMMON","23345M107","96,282","0.6%","968,346","",""
"NI","NiSource Inc","COM","65473P105","92,427","0.6%","2,514,363","",""
"TRP.TO","TC Energy Corp","COM","87807B107","87,949","0.5%","1,890,168","",""
"DUK","Duke Energy Corp","COM NEW","26441C204","84,672","0.5%","785,901","",""
"TTAN","SERVICETITAN INC","COMMON STOCK","81764X103","77,023","0.5%","748,748","",""
"CMS","CMS Energy Corp","COM","125896100","75,102","0.5%","1,126,816","",""
"BNT","BROOKFIELD WEALTH SOLUTIONS","COMMON STOCK","G17434104","71,245","0.4%","1,240,349","",""
"KMI","Kinder Morgan Inc","COM","49456B101","70,900","0.4%","2,587,605","",""
"EQIX","Equinix Inc","COM","29444U700","67,185","0.4%","71,255","",""
"PAA","Plains All American Pipeline LP","UNIT LTD PARTN","726503105","64,803","0.4%","3,794,098","",""
"WES","Western Midstream Partners LP","COM UNIT LP INT","958669103","64,708","0.4%","1,683,790","",""
"AMT","American Tower Corp","COM","03027X100","58,527","0.4%","319,110","",""
"OKE","ONEOK Inc","COM","682680103","58,478","0.4%","582,457","",""
"HESM","Hess Midstream LP","CL A SHS","428103105","47,050","0.3%","1,270,612","",""
"ENLC","EnLink Midstream LLC","COM UNIT","29336T100","43,794","0.3%","3,094,994","",""
"PLD","Prologis Inc","COM","74340W103","43,246","0.3%","409,141","",""
"CSX","CSX Corp","COM","126408103","43,173","0.3%","1,337,893","",""
"NEE","NextEra Energy Inc","COM","65339F101","40,194","0.2%","560,666","",""
"NEP","NEXTERA ENERGY PARTNERS LP","PARTNERSHIP SHARES","65341B106","38,809","0.2%","2,180,320","",""
"NKE","NIKE INC","COMMON STOCK","654106103","36,593","0.2%","483,598","",""
"PEG","Public Service Enterprise Group Inc","COM","744573106","36,522","0.2%","432,270","",""
"GLNG","Golar LNG Ltd","SHS","G9456A100","36,486","0.2%","862,153","",""
"LW","LAMB WESTON HOLDINGS INC","COMMON STOCK","513272104","34,684","0.2%","519,000","",""
"BRX","Brixmor Property Group Inc","COM","11120U105","34,462","0.2%","1,237,861","",""
"WELL","Welltower Inc","COM","95040Q104","33,649","0.2%","266,997","",""
"SPG","Simon Property Group Inc","COM","828806109","31,208","0.2%","181,222","",""
"AVB","AvalonBay Communities Inc","COM","053484101","31,036","0.2%","141,094","",""
"EXR","Extra Space Storage Inc","COM","30225T102","29,711","0.2%","198,607","",""
"PEAK","Healthpeak Properties Inc","COM","42250P103","25,917","0.2%","1,278,619","",""
"DLR","Digital Realty Trust Inc","COM","253868103","25,850","0.2%","145,777","",""
"ADC","Agree Realty Corp","COM","008492100","24,165","0.1%","343,013","",""
"REG","Regency Centers Corp","COM","758849103","24,100","0.1%","325,985","",""
"PPL","PPL Corp","COM","69351T106","23,452","0.1%","722,514","",""
"EPRT","Essential Properties Realty Trust Inc","COM","29670E107","18,506","0.1%","591,636","",""
"REXR","Rexford Industrial Realty Inc","COM","76169C100","17,804","0.1%","460,551","",""
"SOBO.TO","SOUTH BOW CORP","COMMON STOCK","83671M105","17,585","0.1%","746,077","",""
"VTR","Ventas Inc","COM","92276F100","17,549","0.1%","297,997","",""
"WMB","The Williams Companies Inc","COM","969457100","17,514","0.1%","323,632","",""
