"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"GFL.TO","GFL ENVIRONMENTAL INC","SUB VTG SHS","36168Q104","1,275,047","14%","43,660,872","",""
"MSFT","MICROSOFT CORP","COM","594918104","704,567","7.5%","2,937,903","",""
"CB","CHUBB LIMITED","COM","H1467J104","577,811","6.2%","2,619,273","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","556,791","5.9%","4,152,060","",""
"SYK","STRYKER CORPORATION","COM","863667101","502,156","5.3%","2,053,894","",""
"PGR","PROGRESSIVE CORP","COM","743315103","475,956","5.1%","3,669,390","",""
"TMO","THERMO FISHER SCIENTIFIC INC","COM","883556102","471,797","5.0%","856,739","",""
"V","VISA INC","COM CL A","92826C839","458,707","4.9%","2,207,871","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","444,328","4.7%","12,705,989","",""
"AZEK","AZEK CO INC","CL A","05478C105","388,030","4.1%","19,095,990","",""
"AMZN","AMAZON COM INC","COM","023135106","347,254","3.7%","4,133,978","",""
"CMI","CUMMINS INC","COM","231021106","344,338","3.7%","1,421,184","",""
"TSCO","TRACTOR SUPPLY CO","COM","892356106","344,081","3.7%","1,529,454","",""
"PCAR","PACCAR INC","COM","693718108","335,837","3.6%","3,393,330","",""
"NOW","SERVICENOW INC","COM","81762P102","324,293","3.5%","835,227","",""
"FANG","DIAMONDBACK ENERGY INC","COM","25278X109","278,060","3.0%","2,032,903","",""
"ELAN","ELANCO ANIMAL HEALTH INC","COM","28414H103","219,009","2.3%","17,922,193","",""
"CWK","CUSHMAN WAKEFIELD PLC","SHS","G2717B108","130,379","1.4%","10,463,871","",""
"","PALO ALTO NETWORKS INC","NOTE 0.750% 7/0","697435AD7","100,949","1.1%","","63,500,000",""
"COOK","TRAEGER INC","COMMON STOCK","89269P103","69,634","0.7%","24,693,075","",""
"XLF","SELECT SECTOR SPDR TR","FINANCIAL","81369Y605","54,518","0.6%","1,594,114","",""
"SSL.TO","SANDSTORM GOLD LTD","COM NEW","80013R206","35,492","0.4%","6,747,638","",""
"","PINDUODUO INC","NOTE12/0","722304AC6","34,595","0.4%","","37,000,000",""
"","H WORLD GROUP LTD","NOTE 3.000% 5/0","44332NAB2","20,148","0.2%","","16,000,000",""
"","PALO ALTO NETWORKS INC","NOTE 0.375% 6/0","697435AF2","15,299","0.2%","","10,360,000",""
"IE","IVANHOE ELECTRIC INC","COM","46578C108","11,657","0.1%","959,484","",""
"","BILIBILI INC","NOTE 0.500%12/0","090040AF3","10,657","0.1%","","14,500,000",""
"","SPOTIFY USA INC","NOTE3/1","84921RAB6","8,123","0.1%","","10,000,000",""
"","SEA LTD","NOTE 0.250% 9/1","81141RAG5","7,370","0.1%","","10,000,000",""
"EXPD","EXPEDITORS INTL WASH INC","COM","302130109","6,851","0.1%","65,930","",""
"ELS","EQUITY LIFESTYLE PPTYS INC","COM","29472R108","6,640","0.1%","102,796","",""
"IMO.TO","IMPERIAL OIL LTD","COM NEW","453038408","6,589","0.1%","135,283","",""
"HST","HOST HOTELS & RESORTS INC","COM","44107P104","6,136","0.1%","382,339","",""
"","FORD MTR CO DEL","NOTE3/1","345370CZ1","6,044","0.1%","","6,500,000",""
"NSP","INSPERITY INC","COM","45778Q107","5,881","0.1%","51,772","",""
