Financial Institution,2018,2019,2020,2021,2022,2023,2024
RBC,453060171.69988644,645738247.081434,1075528420.3865628,1137735174.0935,923364055.2994798,1064378217.0702014,979203998.7762089
BMO,255076487.47705352,389382558.80870783,544272530.5424532,682594645.4961836,428891913.87655026,582451634.0452679,386741678.7382639
TD,161498232.39403775,223265429.13690308,362200635.7701527,331605697.97049654,262599456.86446607,277474611.87955785,196156857.5777995
Scotiabank,46661902.655047335,95742513.57452779,182530407.5622611,183228017.2216375,149465709.9560472,163500068.93464395,146048414.9794621
CIBC,86162961.67495315,128925835.8247864,211447084.90778333,252221868.17674595,184575970.8977526,132883802.97802965,149096183.42056108
National Bank of Canada,0.0,0.0,0.0,98885669.55138104,132840165.6053205,108983771.73061784,126223112.37672627
Sun Life Financial,699387.544760135,324370.083666092,276453.1092106396,125633.11568627112,64042.69650638992,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0,0.0,1432172.201363928,0.0
Manulife,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brookfield Asset Management,22937231.686873943,5553200.1863951525,15278661.188096348,21643827.310235787,18978101.18295423,11441853.211243289,6183355.44835373
Fairfax,232501.27900444507,239002.44849171932,859691.36032678,865262.112578921,1333295.636674373,3289714.579597292,1993433.1289087967
Intact Financial,6257080.452443827,11917607.399387201,22865178.104511425,25414957.512121323,8220932.308057122,9200766.84286162,7603113.784759999
OMERS,305619.2094888146,835430.8046377728,885285.8475162828,789858.0679162522,1113008.0216715545,1044841.2611610009,841202.1600304733
CPPIB,71578610.42236763,74900072.02667911,474586679.2970867,193218619.3827461,82879832.82129222,119190007.96286285,169176189.87637588
Healthcare of Ontario Pension Plan Trust Fund,0.0,12588484.28026456,62582220.7403702,67664279.17459299,56622349.890285075,47839708.23667456,32582563.106510967
OTPP,148960.05747278346,425285.6272046986,60561.461022341784,178409.77223482192,877571.7254604233,302468.24873773084,43909.41781656803
OPSEU,0.0,0.0,27389.749909674458,46794.51962317638,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,4728757.177472054,3616301.8616481647,4070562.8381126598,9709702.912041007,3432191.531904318
