Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
RY.TO,ROYAL BK CDA MONTREAL QUE,COM,780087102,"4,957,083",3.7%,"62,589,413",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"3,958,126",3.0%,"70,517,116",,
BNS.TO,BANK N S HALIFAX,COM,064149107,"3,152,862",2.4%,"55,812,727",,
MSFT,MICROSOFT CORP,COM,594918104,"2,636,584",2.0%,"16,718,979",,
AAPL,APPLE INC,COM,037833100,"2,580,131",1.9%,"8,786,409",,
SPY,SPDR S&P 500 ETF TR,TR UNIT,78462F103,"2,130,332",1.6%,"6,618,815",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"1,988,663",1.5%,"50,004,092",,
BKAA.SG,BROOKFIELD ASSET MGMT INC,CL A LTD VT SH,112585104,"1,958,367",1.5%,"33,881,762",,
GOOG,ALPHABET INC,CAP STK CL C,02079K107,"1,934,907",1.5%,"1,447,178",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"1,773,779",1.3%,"33,272,919",,
GOOGL,ALPHABET INC,CAP STK CL A,02079K305,"1,658,901",1.2%,"1,238,549",,
BMO.TO,BANK MONTREAL QUE,COM,063671101,"1,630,600",1.2%,"21,039,998",,
MFC.TO,MANULIFE FINL CORP,COM,56501R106,"1,612,280",1.2%,"79,461,836",,
CNR.TO,CANADIAN NATL RY CO,COM,136375102,"1,517,118",1.1%,"16,772,999",,
CM.TO,CDN IMPERIAL BK COMM TORONTO,COM,136069101,"1,451,434",1.1%,"17,445,120",,
AMZN,AMAZON COM INC,COM,023135106,"1,401,866",1.1%,"758,649",,
BCE.TO,BCE INC,COM NEW,05534B760,"1,308,625",1.0%,"28,233,569",,
V,VISA INC,COM CL A,92826C839,"1,292,192",1.0%,"6,877,029",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"1,248,579",0.9%,"38,066,392",,
MA,MASTERCARD INC,CL A,57636Q104,"1,176,504",0.9%,"3,940,198",,
BIP,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,G16252101,"1,073,040",0.8%,"21,465,081",,
JPM,JPMORGAN CHASE & CO,COM,46625H100,"1,070,238",0.8%,"7,677,458",,
RCI-B.TO,ROGERS COMMUNICATIONS INC,CL B,775109200,"1,042,135",0.8%,"20,981,171",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"1,010,081",0.8%,"31,223,501",,
C,CITIGROUP INC,COM NEW,172967424,"877,003",0.7%,"10,977,617",,
CP.TO,CANADIAN PAC RY LTD,COM,13645T100,"872,158",0.7%,"3,420,898",,
BAC,BANK AMER CORP,COM,060505104,"852,313",0.6%,"24,199,701",,
FTS.TO,FORTIS INC,COM,349553107,"851,165",0.6%,"20,500,083",,
META,FACEBOOK INC,CL A,30303M102,"836,868",0.6%,"4,077,315",,
WCN,WASTE CONNECTIONS INC,COM,94106B101,"823,972",0.6%,"9,075,593",,
JNJ,JOHNSON & JOHNSON,COM,478160104,"811,434",0.6%,"5,562,725",,
MRK,MERCK & CO INC,COM,58933Y105,"764,922",0.6%,"8,410,355",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"737,407",0.6%,"19,897,649",,
SLF.TO,SUN LIFE FINL INC,COM,866796105,"690,162",0.5%,"15,145,069",,
INTC,INTEL CORP,COM,458140100,"682,829",0.5%,"11,408,987",,
NTR.TO,NUTRIEN LTD,COM,67077M108,"645,967",0.5%,"13,482,918",,
QQQ,INVESCO QQQ TR,UNIT SER 1,46090E103,"645,958",0.5%,"3,038,229",,
WMT,WALMART INC,COM,931142103,"644,609",0.5%,"5,424,169",,
QSR,RESTAURANT BRANDS INTL INC,COM,76131D103,"638,205",0.5%,"10,007,936",,
FNV.TO,FRANCO NEVADA CORP,COM,351858105,"636,279",0.5%,"6,159,534",,
CMCSA,COMCAST CORP NEW,CL A,20030N101,"612,301",0.5%,"13,615,781",,
