Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
CQP,CHENIERE ENERGY PARTNERS LP,COMMON STOCK,16411Q101,"5,059,678",29%,"101,620,376",,
BEP,BROOKFIELD RENEWABLE PARTNERS,PARTNERSHIP SHARES,G16258108,"1,953,630",11%,"74,339,049",,
BN.TO,BROOKFIELD CORP,COMMON STOCK,11271J107,"1,321,335",7.5%,"32,934,574",,
BEPC.TO,BROOKFIELD RENEWABLE CORP,COMMON STOCK,11284V105,"1,290,190",7.4%,"44,813,835",,
BBUC,BROOKFIELD BUSINESS CORP,COMMON STOCK,11259V106,"1,099,860",6.3%,"47,244,876",,
AEL,AMERICAN EQUITY INVESTMENT LIF,COMMON STOCK,025676206,"886,447",5.1%,"15,886,163",,
BBU,BROOKFIELD BUSINESS PARTNERS L,PARTNERSHIP SHARES,G16234109,"517,767",3.0%,"25,158,782",,
BIPC,BROOKFIELD INFRASTRUCTURE CORP,COMMON STOCK,11275Q107,"459,091",2.6%,"13,012,789",,
TA.TO,TRANSALTA CORP,COMMON STOCK,89346D107,"295,270",1.7%,"35,489,201",,
VNO,VORNADO REALTY TRUST,REIT,929042109,"264,347",1.5%,"9,357,436",,
BABA,ALIBABA GROUP HOLDING LTD,DEPOSITARY RECEIPT,01609W102,"211,921",1.2%,"2,734,115",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"208,649",1.2%,"1,222,247",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"188,871",1.1%,"13,686,322",,
WMB,WILLIAMS COS INC,COM,969457100,"183,643",1.0%,"5,272,555",,
CCI,CROWN CASTLE INC,COM,22822V101,"166,518",1.0%,"1,445,596",,
MPLX,MPLX LP,COM UNIT REP LTD,55336V100,"162,068",0.9%,"4,413,643",,
PCG,PG&E CORP,COM,69331C108,"152,253",0.9%,"8,444,450",,
TRGP,TARGA RES CORP,COM,87612G101,"149,633",0.9%,"1,722,503",,
BIP,BROOKFIELD INFRASTRUCTURE PART,PARTNERSHIP SHARES,G16252101,"147,577",0.8%,"4,686,497",,
PLD,PROLOGIS INC.,COM,74340W103,"135,170",0.8%,"1,014,031",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"126,112",0.7%,"4,786,068",,
SRE,SEMPRA,COM,816851109,"121,606",0.7%,"1,627,275",,
OKE,ONEOK INC NEW,COM,682680103,"119,747",0.7%,"1,705,321",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,"118,875",0.7%,"4,160,849",,
SBAC,SBA COMMUNICATIONS CORP NEW,CL A,78410G104,"117,968",0.7%,"465,012",,
DTE,DTE ENERGY CO,COM,233331107,"113,983",0.7%,"1,033,773",,
PAA,PLAINS ALL AMERN PIPELINE L,UNIT LTD PARTN,726503105,"89,721",0.5%,"5,922,187",,
AMT,AMERICAN TOWER CORP NEW,COM,03027X100,"84,313",0.5%,"390,558",,
WES,WESTERN MIDSTREAM PARTNERS L,COM UNIT LP INT,958669103,"84,139",0.5%,"2,875,568",,
EQIX,EQUINIX INC,COM,29444U700,"81,994",0.5%,"101,807",,
CMS,CMS ENERGY CORP,COM,125896100,"77,817",0.4%,"1,340,058",,
NI,NISOURCE INC,COM,65473P105,"71,622",0.4%,"2,697,635",,
NEP,NEXTERA ENERGY PARTNERS LP,COMMON STOCK,65341B106,"66,303",0.4%,"2,180,320",,
ETR,ENTERGY CORP NEW,COM,29364G103,"65,348",0.4%,"645,800",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"61,352",0.4%,"1,010,085",,
EAF,GRAFTECH INTERNATIONAL LTD,COMMON STOCK,384313508,"59,733",0.3%,"27,275,626",,
PPL,PPL CORP,COM,69351T106,"57,560",0.3%,"2,124,022",,
EQR,EQUITY RESIDENTIAL,SH BEN INT,29476L107,"55,114",0.3%,"901,149",,
VTR,VENTAS INC,COM,92276F100,"53,174",0.3%,"1,066,911",,
VICI,VICI PPTYS INC,COM,925652109,"52,379",0.3%,"1,643,026",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"50,234",0.3%,"2,847,779",,
KRG,KITE RLTY GROUP TR,COM NEW,49803T300,"44,036",0.3%,"1,926,346",,
AMH,AMERICAN HOMES 4 RENT,CL A,02665T306,"42,158",0.2%,"1,172,372",,
PEG,PUBLIC SVC ENTERPRISE GRP IN,COM,744573106,"40,837",0.2%,"667,828",,
EPRT,ESSENTIAL PPTYS RLTY TR INC,COM,29670E107,"40,392",0.2%,"1,580,288",,
UDR,UDR INC,COM,902653104,"33,978",0.2%,"887,396",,
EXR,EXTRA SPACE STORAGE INC,COM,30225T102,"33,852",0.2%,"211,145",,
SUI,SUN CMNTYS INC,COM,866674104,"33,676",0.2%,"251,978",,
PSA,PUBLIC STORAGE,COM,74460D109,"32,347",0.2%,"106,056",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"31,872",0.2%,"925,985",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"30,618",0.2%,"783,271",,
REG,REGENCY CTRS CORP,COM,758849103,"30,102",0.2%,"449,297",,
AY,ATLANTICA SUSTAINABLE INFR P,SHS,G0751N103,"30,024",0.2%,"1,396,508",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"29,865",0.2%,"354,825",,
AEE,AMEREN CORP,COM,023608102,"26,376",0.2%,"364,623",,
ADC,AGREE RLTY CORP,COM,008492100,"26,208",0.1%,"416,338",,
CSX,CSX CORP,COM,126408103,"25,936",0.1%,"748,094",,
IRM,IRON MTN INC DEL,COM,46284V101,"24,689",0.1%,"352,803",,
NNN,NNN REIT INC,COM,637417106,"23,901",0.1%,"554,570",,
PGRE,PARAMOUNT GROUP INC,REIT,69924R108,"23,768",0.1%,"4,597,450",,
O,REALTY INCOME CORP,COM,756109104,"23,210",0.1%,"404,227",,
CTRE,CARETRUST REIT INC,COM,14174T107,"22,351",0.1%,"998,732",,
ENLC,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,"22,040",0.1%,"1,812,524",,
WELL,WELLTOWER INC,COM,95040Q104,"20,770",0.1%,"230,351",,
CUZ,COUSINS PPTYS INC,COM NEW,222795502,"19,685",0.1%,"808,432",,
BNRE,BROOKFIELD REINSURANCE LTD,COMMON STOCK,G16250105,"18,881",0.1%,"467,701",,
COLD,AMERICOLD REALTY TRUST INC,COM,03064D108,"18,721",0.1%,"618,493",,
DLR,DIGITAL RLTY TR INC,COM,253868103,"18,124",0.1%,"134,672",,
NS,NUSTAR ENERGY LP,UNIT COM,67058H102,"16,948",0.1%,"907,300",,
DRH,DIAMONDROCK HOSPITALITY CO,COM,252784301,"15,593",0.1%,"1,660,662",,
REXR,REXFORD INDL RLTY INC,COM,76169C100,"14,154",0.1%,"252,303",,
ETRN,EQUITRANS MIDSTREAM CORP,COM,294600101,"12,507",0.1%,"1,228,622",,
BXP,BOSTON PROPERTIES INC,COM,101121101,"11,593",0.1%,"165,215",,
PEB,PEBBLEBROOK HOTEL TR,COM,70509V100,"11,501",0.1%,"719,756",,
XEL,XCEL ENERGY INC,COM,98389B100,"5,703",0.0%,"92,131",,
