Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
BKAA.SG,BROOKFIELD ASSET MANAGEMENT IN,COMMON STOCK,112585104,"7,869,709",31%,"130,336,513",,
BEP,BROOKFIELD RENEWABLE PARTNERS,PARTNERSHIP SHARES,G16258108,"2,460,542",9.6%,"68,749,416",,
BEPC.TO,BROOKFIELD RENEWABLE CORP,COMMON STOCK,11284V105,"1,650,511",6.5%,"44,813,835",,
BBU,BROOKFIELD BUSINESS PARTNERS L,PARTNERSHIP SHARES,G16234109,"1,210,181",4.7%,"26,279,715",,
EAF,GRAFTECH INTERNATIONAL LTD,COMMON STOCK,384313508,"755,088",3.0%,"63,828,253",,
BIPC,BROOKFIELD INFRASTRUCTURE CORP,COMMON STOCK,11275Q107,"592,169",2.3%,"8,675,193",,
VST,VISTRA CORP,COMMON STOCK,92840M102,"439,208",1.7%,"19,288,903",,
MIDD,MIDDLEBY CORP/THE,COMMON STOCK,596278101,"406,101",1.6%,"2,063,942",,
TA.TO,TRANSALTA CORP,COMMON STOCK,89346D107,"393,740",1.5%,"35,425,696",,
AEL,AMERICAN EQUITY INVESTMENT LIF,COMMON STOCK,025676206,"354,407",1.4%,"9,106,042",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"272,611",1.1%,"2,919,994",,
CCI,CROWN CASTLE INTL CORP NEW,COM,22822V101,"258,097",1.0%,"1,236,451",,
PCG,PG&E CORP,COM,69331C108,"249,292",1.0%,"20,534,725",,
BABA,ALIBABA GROUP HOLDING LTD,EQTY,01609W102,"242,702",0.9%,"2,043,115",,
PLD,PROLOGIS INC.,COM,74340W103,"237,901",0.9%,"1,413,047",,
FE,FIRSTENERGY CORP,COM,337932107,"235,775",0.9%,"5,669,025",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"234,346",0.9%,"2,310,657",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,"213,864",0.8%,"7,662,642",,
D,DOMINION ENERGY INC,COM,25746U109,"204,515",0.8%,"2,603,300",,
TRGP,TARGA RES CORP,COM,87612G101,"199,162",0.8%,"3,812,449",,
SPG,SIMON PPTY GROUP INC NEW,COM,828806109,"189,639",0.7%,"1,186,951",,
NI,NISOURCE INC,COM,65473P105,"172,307",0.7%,"6,240,748",,
QQQ,INVESCO QQQ TR,UNIT SER 1,46090E103,"165,983",0.6%,"417,200",,put
EVRG,EVERGY INC,COM,30034W106,"165,392",0.6%,"2,410,605",,
ESS,ESSEX PPTY TR INC,COM,297178105,"155,561",0.6%,"441,646",,
WELL,WELLTOWER INC,COM,95040Q104,"151,386",0.6%,"1,765,023",,
SRE,SEMPRA,COM,816851109,"148,399",0.6%,"1,121,855",,
ETR,ENTERGY CORP NEW,COM,29364G103,"144,266",0.6%,"1,280,656",,
MAA,MID-AMER APT CMNTYS INC,COM,59522J103,"136,866",0.5%,"596,520",,
PK,PARK HOTELS & RESORTS INC,COM,700517105,"135,359",0.5%,"7,169,440",,
OKE,ONEOK INC NEW,COM,682680103,"135,000",0.5%,"2,297,485",,
INVH,INVITATION HOMES INC,COM,46187W107,"134,425",0.5%,"2,964,827",,
CMS,CMS ENERGY CORP,COM,125896100,"132,709",0.5%,"2,040,107",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"129,416",0.5%,"15,724,963",,
MPLX,MPLX LP,COM UNIT REP LTD,55336V100,"121,250",0.5%,"4,097,668",,
ATO,ATMOS ENERGY CORP,COM,049560105,"113,462",0.4%,"1,082,962",,
VICI,VICI PPTYS INC,COM,925652109,"111,345",0.4%,"3,697,930",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"101,879",0.4%,"2,606,943",,
PAA,PLAINS ALL AMERN PIPELINE L,UNIT LTD PARTN,726503105,"99,805",0.4%,"10,685,788",,
UDR,UDR INC,COM,902653104,"96,990",0.4%,"1,616,764",,
SUI,SUN CMNTYS INC,COM,866674104,"94,067",0.4%,"448,003",,
COLD,AMERICOLD RLTY TR,COM,03064D108,"92,444",0.4%,"2,819,284",,
PEB,PEBBLEBROOK HOTEL TR,COM,70509V100,"91,099",0.4%,"4,072,362",,
PEAK,HEALTHPEAK PROPERTIES INC,COM,42250P103,"90,571",0.4%,"2,509,587",,
AMT,AMERICAN TOWER CORP NEW,COM,03027X100,"90,149",0.4%,"308,202",,
HIW,HIGHWOODS PPTYS INC,COM,431284108,"89,608",0.4%,"2,009,589",,
WMB,WILLIAMS COS INC,COM,969457100,"87,818",0.3%,"3,372,442",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"86,111",0.3%,"3,921,279",,
SBAC,SBA COMMUNICATIONS CORP NEW,CL A,78410G104,"84,037",0.3%,"216,022",,
CSX,CSX CORP,COM,126408103,"77,680",0.3%,"2,065,967",,
EPR,EPR PPTYS,COM SH BEN INT,26884U109,"75,006",0.3%,"1,579,398",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"73,340",0.3%,"4,624,220",,
FRT,FEDERAL RLTY INVT TR,SH BEN INT NEW,313747206,"70,316",0.3%,"515,815",,
SR,SPIRE INC,COM,84857L101,"70,138",0.3%,"1,075,400",,
ETRN,EQUITRANS MIDSTREAM CORP,COM,294600101,"70,095",0.3%,"6,779,038",,
MMP,MAGELLAN MIDSTREAM PRTNRS LP,COM UNIT RP LP,559080106,"69,683",0.3%,"1,500,488",,
ADC,AGREE RLTY CORP,COM,008492100,"68,907",0.3%,"965,620",,
WPC,WP CAREY INC,COM,92936U109,"66,947",0.3%,"815,934",,
