Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ATCO,ATLAS CORP,SHARES,Y0436Q109,"1,079,086",48%,"99,638,552",,
BB.TO,BLACKBERRY LTD,COM,09228F103,"309,738",14%,"46,724,700",,
KW,KENNEDY-WILSON HOLDINGS INC,COM,489398107,"238,331",11%,"13,322,009",,
RFP,RESOLUTE FST PRODS INC,COM,76117W109,"199,785",8.9%,"30,548,190",,
CCAP,CRESCENT CAPITAL BDC INC,COM,225655109,"55,273",2.5%,"3,796,246",,
MU,MICRON TECHNOLOGY INC,COM,595112103,"52,619",2.3%,"700,000",,
MCFT,MASTERCRAFT BOAT HOLDINGS INC,COM,57637H103,"46,394",2.1%,"1,868,465",,
GOOGL,ALPHABET INC,CAP STK CL A,02079K305,"29,293",1.3%,"16,731",,
BEN,FRANKLIN RESOURCES INC,COM,354613101,"24,980",1.1%,"1,000,000",,
LUMN,LUMEN TECHNOLOGIES INC,COM,156700106,"21,909",1.0%,"2,247,100",,
GM,GENERAL MTRS CO,COM,37045V100,"15,655",0.7%,"375,965",,
GE,GENERAL ELECTRIC CO,COM,369604103,"15,022",0.7%,"1,390,900",,
BKNG,BOOKING HOLDINGS INC,COM,09857L108,"14,445",0.6%,"6,500",,
BNS.TO,BANK OF NOVA SCOTIA,COM,064149107,"13,345",0.6%,"247,100",,
CVX,CHEVRON CORP,COM,166764100,"13,148",0.6%,"155,800",,
JNJ,JOHNSON & JOHNSON,COM,478160104,"11,541",0.5%,"73,400",,
PFE,PFIZER INC,COM,717081103,"11,076",0.5%,"300,900",,
TSM,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,"10,216",0.5%,"93,700",,
MRK,MERCK & CO. INC,COM,58933Y105,"10,053",0.4%,"122,900",,
HP,HELMERICH & PAYNE INC,COM,423452101,"9,875",0.4%,"426,400",,
EAF,GRAFTECH INTL LTD,COM,384313508,"9,080",0.4%,"852,628",,
DSSI,DIAMOND S SHIPPING INC,COM,Y20676105,"6,891",0.3%,"1,034,681",,
LTRPA,LIBERTY TRIPADVISOR HLDGS INC,COM SER A,531465102,"4,414",0.2%,"1,017,000",,
TIF,TIFFANY & CO,COM,886547108,"2,471",0.1%,"18,800",,
SLCA,U S SILICA HLDS INC,COM,90346E103,"2,422",0.1%,"345,000",,
CIGI.TO,COLLIERS INTL GROUP INC,SUB VTG SHS,194693107,"2,214",0.1%,"25,000",,
LORL,LORAL SPACE & COM INC,COM,543881106,"2,119",0.1%,"101,000",,
QSR,RESTAURANT BRANDS INTL INC,COM,76131D103,"2,042",0.1%,"33,500",,
KLIC,KULICKE & SOFFA INDS INC,COM,501242101,"1,940",0.1%,"61,000",,
AGX,ARGAN INC,COM,04010E109,"1,877",0.1%,"42,200",,
MIDD,MIDDLEBY CORP,COM,596278101,"1,869",0.1%,"14,500",,
CVS,CVS HEALTH CORP,COM,126650100,"1,809",0.1%,"26,500",,
TA.TO,TRANSALTA CORP,COM,89346D107,"1,627",0.1%,"215,000",,
IMAX,IMAX CORP,COM,45245E109,"1,622",0.1%,"90,000",,
KKR,KKR & CO INC,COM,48251W104,"1,620",0.1%,"40,000",,
DIN,DINE BRANDS GLOBAL INC,COM,254423106,"1,481",0.1%,"25,500",,
MSGS,MADISON SQUARE GARDEN SPRT CORP,CL A,55825T103,"1,473",0.1%,"8,000",,
BKAA.SG,BROOKFIELD ASSET MGMT INC,CL A LTD VT SH,112585104,"1,444",0.1%,"35,000",,
DENN,DENNY'S CORP,COM,24869P104,"1,380",0.1%,"94,000",,
NWPX,NORTHWEST PIPE CO,COM,667746101,"1,217",0.1%,"43,000",,
IRBT,IROBOT CORP,COM,462726100,"1,204",0.1%,"15,000",,
J,JACOBS ENGR GROUP INC,COM,469814107,"1,199",0.1%,"11,000",,
FNF,FIDELITY NATIONAL FINANCIAL,FNF GROUP COM,31620R303,"1,172",0.1%,"30,000",,
DK,DELEK US HOLDINGS INC,COM,24665A103,"1,125",0.1%,"70,000",,
OR.TO,OSISKO GOLD ROYALTIES LTD,COM,68827L101,"1,108",0.0%,"87,697",,
RAIL,FREIGHTCAR AMER INC,COM,357023100,"1,071",0.0%,"450,000",,
LBRDK,LIBERTY BROADBAND CORP,COM SER C,530307305,"1,010",0.0%,"6,380",,
WW,WW INTERNATIONAL INC,COM,98262P101,"1,000",0.0%,"41,000",,
UA,UNDER ARMOUR INC,CL C,904311206,952,0.0%,"64,000",,
DAR,DARLING INGREDIENTS INC,COM,237266101,934,0.0%,"16,200",,
CLGX,CORELOGIC INC,COM,21871D103,866,0.0%,"11,200",,
MSGE,MADISON SQUARE GRDN ENTERTNMNT,CL A,55826T102,841,0.0%,"8,000",,
FLIR,FLIR SYS INC,COM,302445101,833,0.0%,"19,000",,
GRT-UN.TO,GRANITE REAL ESTATE INVT TR,UNIT 99/99/9999,387437114,823,0.0%,"13,500",,
CCI,CROWN CASTLE INTL CORP,COM,22822V101,637,0.0%,"4,000",,
CRUS,CIRRUS LOGIC INC,COM,172755100,526,0.0%,"6,400",,
LHCG,LHC GROUP INC,COM,50187A107,405,0.0%,"1,900",,
BRK-A,BERKSHIRE HATHAWAY INC,CL A,084670108,348,0.0%,1,,
,CELLULAR BIOMEDICINE GROUP INC,COM NEW,15117P102,158,0.0%,"8,600",,
