Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
CM.TO,CANADIAN IMPERIAL BK COMM TO,COM,136069101,"119,630",4.8%,"2,484,483",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"85,565",3.5%,"1,324,149",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"84,881",3.4%,"2,649,414",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"79,673",3.2%,"2,213,155",,
BMO.TO,BANK MONTREAL QUE,COM,063671101,"71,852",2.9%,"726,141",,
RCI-B.TO,ROGERS COMMUNICATIONS INC,CL B,775109200,"69,365",2.8%,"1,481,691",,
SLF.TO,SUN LIFE FINANCIAL INC.,COM,866796105,"68,618",2.8%,"1,323,050",,
BIP,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,G16252101,"60,484",2.4%,"1,919,094",,
RBA.TO,RB GLOBAL INC,COM,74935Q107,"54,273",2.2%,"811,008",,
OTEX,OPEN TEXT CORP,COM,683715106,"52,657",2.1%,"1,252,860",,
MFC.TO,MANULIFE FINL CORP,COM,56501R106,"51,774",2.1%,"2,342,920",,
T.TO,TELUS CORPORATION,COM,87971M103,"48,078",1.9%,"2,701,602",,
BN.TO,BROOKFIELD CORP,CL A LTD VT SH,11271J107,"46,751",1.9%,"1,165,480",,
RY.TO,ROYAL BK CDA,COM,780087102,"45,807",1.9%,"452,950",,
QSR,RESTAURANT BRANDS INTL INC,COM,76131D103,"44,543",1.8%,"570,084",,
ABX.TO,BARRICK GOLD CORP,COM,067901108,"44,160",1.8%,"2,444,150",,
BTO.TO,B2GOLD CORP,COM,11777Q209,"43,471",1.8%,"13,747,050",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"43,168",1.7%,"2,590,497",,
NTR.TO,NUTRIEN LTD,COM,67077M108,"42,672",1.7%,"757,409",,
CP.TO,CANADIAN PACIFIC KANSAS CITY,COM,13646K108,"39,867",1.6%,"503,860",,
BNS.TO,BANK NOVA SCOTIA HALIFAX,COM,064149107,"38,454",1.6%,"789,954",,
BCE.TO,BCE INC,COM NEW,05534B760,"32,902",1.3%,"835,660",,
CNR.TO,CANADIAN NATL RY CO,COM,136375102,"32,144",1.3%,"255,724",,
