Manager,Report Date,Value ($000),Shares,Option Type
ROYAL BANK OF CANADA,12/31/2019,"2,709,110","133,519,563",
BANK OF MONTREAL /CAN/,12/31/2019,"1,612,280","79,461,836",
VANGUARD GROUP INC,12/31/2019,"1,163,213","57,329,369",
"Jarislowsky, Fraser Ltd",12/31/2019,"829,357","40,799,323",
TD ASSET MANAGEMENT INC,12/31/2019,"774,469","38,099,087",
MACKENZIE FINANCIAL CORP,12/31/2019,"742,737","36,567,687",
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,12/31/2019,"702,080","34,538,011",
EdgePoint Investment Group Inc.,12/31/2019,"625,706","31,228,309",
BANK OF NOVA SCOTIA,12/31/2019,"536,327","26,419,614",
GREAT WEST LIFE ASSURANCE CO /CAN/,12/31/2019,"453,571","22,552,268",
"LETKO, BROSSEAU & ASSOCIATES INC",12/31/2019,"441,120","21,700,400",
NORGES BANK,12/31/2019,"432,646","21,345,151",
1832 Asset Management L.P.,12/31/2019,"424,428","20,911,206",
CIBC World Markets Inc.,12/31/2019,"423,629","20,878,702",
FIL Ltd,12/31/2019,"420,514","20,715,424",
CAUSEWAY CAPITAL MANAGEMENT LLC,12/31/2019,"326,757","16,104,315",
"Beutel, Goodman & Co Ltd.",12/31/2019,"248,630","12,253,832",
WELLS FARGO & COMPANY/MN,12/31/2019,"243,086","11,980,579",
"Connor, Clark & Lunn Investment Management Ltd.",12/31/2019,"228,443","11,238,003",
SCOTIA CAPITAL INC.,12/31/2019,"225,895","11,144,520",
Legal & General Group Plc,12/31/2019,"190,386","9,366,338",
CIBC Asset Management Inc,12/31/2019,"180,164","8,862,406",
TORONTO DOMINION BANK,12/31/2019,"175,498","8,640,645",
ACADIAN ASSET MANAGEMENT LLC,12/31/2019,"168,230","8,276,050",
FRANKLIN RESOURCES INC,12/31/2019,"166,922","8,221,219",
"Sumitomo Mitsui Trust Holdings, Inc.",12/31/2019,"166,222","8,183,702",
GUARDIAN CAPITAL LP,12/31/2019,"165,217","8,127,649",
Alberta Investment Management Corp,12/31/2019,"163,653","8,050,700",
Invesco Ltd.,12/31/2019,"162,782","8,022,853",
CREDIT SUISSE AG/,12/31/2019,"140,502","6,924,750",
Swiss National Bank,12/31/2019,"139,382","6,874,700",
JANUS HENDERSON GROUP PLC,12/31/2019,"139,360","6,857,957",
Federation des caisses Desjardins du Quebec,12/31/2019,"133,065","6,555,299",
NORDEA INVESTMENT MANAGEMENT AB,12/31/2019,"132,929","6,533,228",
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,12/31/2019,"130,467","6,430,090",
SCHRODER INVESTMENT MANAGEMENT GROUP,12/31/2019,"161,583","6,129,863",
JPMORGAN CHASE & CO,12/31/2019,"123,358","6,079,717",
Allianz Asset Management GmbH,12/31/2019,"123,532","6,077,031",
USS Investment Management Ltd,12/31/2019,"115,755","5,704,140",
DekaBank Deutsche Girozentrale,12/31/2019,"106,483","5,253,220",
