Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
AMTD,TD Ameritrade Holding Corp,COM,87236Y108,"11,631,862",20%,"234,041,501",,
MSFT,Microsoft Corp,COM,594918104,"1,818,563",3.1%,"5,932,918",,
AAPL,Apple Inc,COM,037833100,"1,743,217",2.9%,"3,014,227",,
SPY,SPDR S&P 500 ETF TRUST,PUT,78462F103,"1,351,298",2.3%,"4,198,400",,
BNS.TO,Bank of Nova Scotia/The,COM,064149107,"1,260,016",2.1%,"22,294,488",,
RY.TO,Royal Bank of Canada,COM,780087102,"1,216,299",2.0%,"15,363,089",,
CM.TO,Canadian Imperial Bank of Comm,COM,136069101,"1,126,157",1.9%,"13,525,607",,
AMZN,Amazon.com Inc,COM,023135106,"1,074,544",1.8%,"295,241",,
JPM,JPMorgan Chase & Co,COM,46625H100,"801,716",1.3%,"3,022,007",,
JNJ,Johnson & Johnson,COM,478160104,"749,925",1.3%,"2,597,924",,
BMO.TO,Bank of Montreal,COM,063671101,"719,028",1.2%,"9,272,473",,
PG,Procter & Gamble Co/The,COM,742718109,"659,630",1.1%,"2,667,565",,
TD,Toronto-Dominion Bank/The,COM,891160509,"632,098",1.1%,"11,264,060",,
UNH,UnitedHealth Group Inc,COM,91324P102,"553,678",0.9%,"952,546",,
WFC,Wells Fargo & Co,COM,949746101,"551,684",0.9%,"5,256,282",,
DIS,Walt Disney Co/The,COM,254687106,"486,391",0.8%,"1,701,755",,
VZ,Verizon Communications Inc,COM,92343V104,"483,208",0.8%,"4,053,873",,
META,Facebook Inc,COM,30303M102,"476,968",0.8%,"2,324,145",,
MRK,Merck & Co Inc,COM,58933Y105,"476,895",0.8%,"2,648,678",,
KO,Coca-Cola Co/The,COM,191216100,"453,792",0.8%,"4,123,971",,
ENB.TO,Enbridge Inc,COM,29250N105,"443,139",0.7%,"11,139,348",,
SPY,SPDR S&P 500 ETF TRUST,CALL,78462F103,"434,060",0.7%,"1,348,600",,
BAC,Bank of America Corp,COM,060505104,"429,656",0.7%,"6,532,969",,
PEP,PepsiCo Inc,COM,713448108,"417,645",0.7%,"1,591,450",,
PFE,Pfizer Inc,COM,717081103,"415,092",0.7%,"5,356,511",,
XOM,Exxon Mobil Corp,COM,30231G102,"409,868",0.7%,"2,981,282",,
GLD,SPDR GOLD TRUST GOLD SHS,CALL,78463V107,"401,877",0.7%,"2,812,300",,
GOOG,Alphabet Inc,COM,02079K107,"399,279",0.7%,"298,672",,
BRK-B,Berkshire Hathaway Inc,COM,084670702,"394,776",0.7%,"1,743,163",,
GOOGL,Alphabet Inc,COM,02079K305,"383,228",0.6%,"286,158",,
CMCSA,Comcast Corp,COM,20030N101,"382,357",0.6%,"4,281,167",,
MA,Mastercard Inc,COM,57636Q104,"371,435",0.6%,"634,505",,
BKAA.SG,Brookfield Asset Management In,COM,112585104,"369,883",0.6%,"6,398,168",,
INTC,Intel Corp,COM,458140100,"365,239",0.6%,"3,105,244",,
FTS.TO,Fortis Inc/Canada,COM,349553107,"359,425",0.6%,"8,657,676",,
WMT,Wal-Mart Stores Inc,COM,931142103,"355,152",0.6%,"1,501,051",,
TRP.TO,TransCanada Corp,COM,87807B107,"342,354",0.6%,"6,424,544",,
HD,Home Depot Inc/The,COM,437076102,"330,965",0.6%,"769,089",,
CNR.TO,Canadian National Railway Co,COM,136375102,"330,934",0.6%,"3,656,288",,
ABT,Abbott Laboratories,COM,002824100,"293,826",0.5%,"1,709,761",,
CSCO,Cisco Systems Inc,COM,17275R102,"288,582",0.5%,"3,100,854",,
T,AT&T Inc,COM,00206R102,"285,537",0.5%,"7,307,425",,
